date,title,speaker,audio,youtube,transcript,html
2018-04-08,Infinity Calling Us Forth,,2018-04-08.mp3,,,
2018-04-01,Roll Away That Stone,,2018-04-01.mp3,,,
2018-03-25,,,,,,"Youth Service: reflections by <a href=""https://legacy.uugroton.org/Members/youth-service/2018-03-25-h-wats.mp3"" rel=""noopener"" target=""_blank"">Haley Watson</a>, <a href=""https://legacy.uugroton.org/Members/youth-service/2018-03-25-l-hill.mp3"" rel=""noopener"" target=""_blank"">Lara Hill</a>, <a href=""https://legacy.uugroton.org/Members/youth-service/2018-03-25-s-wood.mp3"" rel=""noopener"" target=""_blank"">Sara Woods</a>"
2018-03-18,This Can Happen Anywhere: What Love Can Do,,2018-03-18.mp3,,,
2018-03-11,A Thousand Prayers of Hope,,2018-03-11.mp3,,,
2018-03-04,Love Makes Us Brave,,2018-03-04.mp3,,,
2018-02-25,"Holding Hands and Climbing (Rev. Elea Kemler, read by Alyssa Dallas)",,2018-02-25-a-dall.mp3,,,
2018-02-18,"Fog, Dust, and Moving Forward",,2018-02-18.mp3,,,
2018-02-11,On Blessing,,2018-02-11.mp3,,,
2018-02-04,,,,,,"<a href=""https://uugroton.github.io/sermons/2018-02-04-s-iaco.mp3"" rel=""noopener"" target=""_blank"">Systemic and Systematic</a> (Sarah Iacobucci); <a href=""https://uugroton.github.io/sermons/2018-02-04-a-chas.mp3"" rel=""noopener"" target=""_blank"">Walking Each Other Home, Remix</a> (Alison Chase)"
2018-01-28,The Ground of Our Hope,,2018-01-28.mp3,,https://legacy.uugroton.org/Sermons/thegroundofourhope.html,
2018-01-21,365 Acts of Hope,,2018-01-21.mp3,,,
2018-01-14,The Redemptive Power of Love (Not an Easy Assignment),,2018-01-14.mp3,,,
2018-01-07,Choose a Strong Word,,2018-01-07.mp3,,,
2017-12-24,"Love Intentionally, Extravagantly",,2017-12-24.mp3,,,
2017-12-17,"Joy is an Act of Resistance, and Singing Too",,2017-12-17.mp3,,,
2017-12-10,,,,,,"Reading in Two Voices: God Gave Me a Word by Amy Petrie Shaw <br/>Sermon: Four Essential Things (Rev. Karen G. Johnston) (<a href=""https://uugroton.github.io/sermons/2017-12-10.mp3"" rel=""noopener"" target=""_blank"">audio</a>)"
2017-12-03,Keep Turning Your Face Toward This Earth,,,,https://legacy.uugroton.org/Sermons/keepturningyourfacetowardthisearth.html,
2017-11-12,Stories of Hope (Laura Wagner),,2017-11-12.mp3,,,
2017-11-05,The Difficult Angel Who Has Chosen You,,2017-11-05-partial.mp3=audio — partial,,https://legacy.uugroton.org/Sermons/thedifficultangelwhohaschosenyou.html,
